text,topic
"From: C.O.EGALON@LARC.NASA.GOV (CLAUDIO OLIVEIRA EGALON) Subject: Re: japanese moon landing? Organization: NASA Langley Research Center Lines: 13 Distribution: world Reply-To: C.O.EGALON@LARC.NASA.GOV (CLAUDIO OLIVEIRA EGALON) NNTP-Posting-Host: tahiti.larc.nasa.gov  > there is no such thing as a stable lunar orbit  Is it right??? That is new stuff for me. So it means that  you just can  not put a sattellite around around the Moon for too long because its  orbit will be unstable??? If so, what is the reason??? Is that because  the combined gravitacional atraction of the Sun,Moon and Earth  that does not provide a stable  orbit around the Moon???   C.O.EGALON@LARC.NASA.GOV  C.O.Egalon@larc.nasa.gov  Claudio Oliveira Egalon",sci.space
"From: mjones@fenway.aix.kingston.ibm.com (Mike Jones) Subject: Re: My Belated Predictions (NL) Reply-To: mjones@donald.aix.kingston.ibm.com Organization: IBM AIX/ESA Development, Kingston NY Lines: 34  mss@netcom.com (Mark Singer) writes: >In article <Apr.4.19.42.08.1993.12176@pilot.njin.net> gajarsky@pilot.njin.net (Bob Gajarsky - Hobokenite) writes: >>javier lopez is a better catcher than greg olson. >But has there ever in the history of baseball been a 22-year-old (or >younger) *rookie* catcher who compared favorably among all league >catchers in terms of defense and brought a .247 bat?  Wasn't it  >Sandy Alomar who was supposed to be that good in his rookie year? >Not.  Wasn't it Benito Santiago who was supposed to be that good >in his rookie year?  Not.  Hrm. Sandy Alomar, 24 year old rookie: 132 games, .290/.326/.418. Threw out a few baserunners. Benito Santiago, 22 year old rookie: 146 games, .300/.324/.467. He threw out a few baserunners, too. Ivan Rodriguez, *20* year old rookies: 88 games, .264/.276/.354. Didn't exactly suck behind the plate.  >I can continue this thread with the others mentioned, but you get >the point.  You and others seem to be so quick to dismiss the  >seasoned veterans in favor of the hot *young* rookies.  Perhaps - >just perhaps - the management team of the pennant-winning Braves >knows something more than you do.  And perhaps what they know is >that very, very few 21- and 22-year old rookies come up to the majors >and make an impact.   True. Which only makes it more important to realize when you have one of the few. Lopez' season last year, adjusted to major league equivalencies, was .306/.330/.472, 15 HRs. How bad does he have to be behind the plate for that to not be better than Olson's .238/.316/.328?   Mike Jones | AIX High-End Development | mjones@donald.aix.kingston.ibm.com  I would not admire hitting against [Ryne] Duren, because if he ever hit you in the head you might be in the past tense.  - Casey Stengel",rec.sport.baseball
"From: leon@dimatrix.DK (Leon Thrane) Subject: X Intrinsic mailing list Organization: The Internet Lines: 14 NNTP-Posting-Host: enterpoop.mit.edu To: xpert@expo.lcs.mit.edu  As we don't get a newsfeed I was wondering whether there was such a thing as a Xt mailing list (other than xpert@expo.lcs.mit.edu).  I would appreciate any info on this, (or X related mailing lists.)          Thanks in advance,          Leon  +-------------------------------+---------------------------------+ | Leon Thrane                   | Telephone:    +45 - 45 93 51 00 | | DimatriX ApS                  | FAX:          +45 - 45 93 51 11 | | Lyngby Hovedgade 15D          | E-mail:       leon@dimatrix.dk  | | DK-2800 Lyngby, Denmark       | or   ...!uunet!dimatrix.dk!leon | +-------------------------------+---------------------------------+",comp.windows.x
"From: re4@prism.gatech.EDU (RUSSELL EARNEST) Subject: Re: Players Rushed to Majors Organization: Georgia Institute of Technology Lines: 29  In article <1993Apr15.145753.21557@holos0.uucp>, lbr@holos0.uucp (Len Reed) writes: > In article <C5Hq3o.G4p@tss.com> hanson@tss.com (Hanson Loo) writes: > >Didn't Bob Horner go straight from Arizona State Univ. > >to the Atlanta Braves? I remember he had one great > >month hitting dingers and then the next I heard > >he was in Japan. > A month?  Well, he did have a short career--compared to what one might > have expected for such a highly touted prospect--due to being injury prone, > overweight, and having no work ethic.  But he certainly did not > suffer from being rushed to the bigs.  Sorry Len, this is exactly how he suffered from being rushed to the bigs. Being overweight and having no work ethic, leading to being injury prone with nothing to loose, might have been corrected in Richmond.  (Did you intend a  smiley after your comment?)  This brings back the long suffering memories of pre-chop Braves fans who kept being promised the Bob Horner - Dale Murphy back to back power slam.  Who could stop that?  Guess we'll never know.  P.S. - Rocky fans (are there any yet?)  Is Dale getting any playing time out there?  I plan to be at the game on June 28th, they'll have to play him then.   --  ""Read that to memory and process it!"" - RUSSELL EARNEST Georgia Institute of Technology, Atlanta Georgia, 30332 uucp: ...!{allegra,amd,hplabs,seismo,ut-ngp}!gatech!prism!re4 ARPA: russell.earnest@housing.gatech.edu",rec.sport.baseball
"From: breedsa@wkuvx1.bitnet Subject: Tempest and Cyclone info. NEEDED Organization: Western Kentucky University, Bowling Green, KY Lines: 8  If anyone has any information about the upcoming new computers (Cyclone and Tempest), I am in need of some info. Anything would be greatly appreciated.  Thanks,  -Shawn breedsa@wkuvx1.bitnet",comp.sys.mac.hardware
"From: tomk@skywalker.bocaraton.ibm.com (Thomas Chun-Hong Kok) Subject: Re: Hypercard for UNIX Organization: IBM Austin Lines: 18  In article <1993Apr23.114028.17633@bernina.ethz.ch>, queloz@bernina.ethz.ch (Ronald Queloz) writes: > Hi netlanders, >  > Does anybody know if there is something like Macintosh Hypercard for any UNIX  > platform? >  >  > Thanks in advance >  >  > Ron.  --   Try MetaCard - a HyperCard-like programming environment on X.   Chun Hong",comp.windows.x
"From: alan@saturn.cs.swin.OZ.AU (Alan Christiansen) Subject: Re: Sphere from 4 points? Organization: Swinburne University of Technology Lines: 71 NNTP-Posting-Host: saturn.cs.swin.oz.au  spworley@netcom.com (Steve Worley) writes:  >bolson@carson.u.washington.edu (Edward Bolson) writes:  >>Boy, this will be embarassing if it is trivial or an FAQ:  >>Given 4 points (non coplanar), how does one find the sphere, that is, >>center and radius, exactly fitting those points?  I know how to do it >>for a circle (from 3 points), but do not immediately see a  >>straightforward way to do it in 3-D.  I have checked some >>geometry books, Graphics Gems, and Farin, but am still at a loss? >>Please have mercy on me and provide the solution?    >It's not a bad question: I don't have any refs that list this algorithm >either. But thinking about it a bit, it shouldn't be too hard.  >1) Take three of the points and find the plane they define as well as >the circle that they lie on (you say you have this algorithm already)  >2) Find the center  of this circle. The line passing through this center >perpendicular to the plane of the three points passes through the center of >the sphere.  >3) Repeat with the unused point and two of the original points. This >gives you two different lines that both pass through the sphere's >origin. Their interection is the center of the sphere.  >4) the radius is easy to compute, it's just the distance from the center to >any of the original points.  >I'll leave the math to you, but this is a workable algorithm. :-)  Good I had a bad feeling about this problem because of a special case with no solution that worried me.  Four coplanar points in the shape of a square have no unique sphere  that they are on the surface of. Similarly 4 colinear point have no finite sized sphere that they are on the surface of.  These algorithms being geometrical designed rather than algebraically design meet these problems neatly.  When determining which plane the 3 points are on if they are colinear the algorithm should afil or return infinite R. When intersecting the two lines there are 2 possibilities they are the same line  (the 4 points were on a planar circle) they are different lines but parallel. There is a sphere of in radius.  This last case can be achieved with 3 colinier points and any 4th point by taking the 4th point and pairs of the first 3 parallel lines will be produced  it can also be achieved by  If all 4 points are coplanar but are not on one circle.   It seems to me that the algorithm only fails when the 4 points are coplanar. The algorithm always fails when the points are coplanar. (4 points being colinear => coplanar)  Testing if the 4th point is coplanar when the plane of the first 3 points has been found is trivial.   >An alternate method would be to take pairs of points: the plane formed >by the perpendicular bisector of each line segment pair also contains the >center of the sphere. Three pairs will form three planes, intersecting >at a point. This might be easier to implement.  >-Steve >spworley@netcom.com",comp.graphics
"From: hambidge@bms.com Subject: Re: Some more about gun control... Reply-To: hambidge@bms.com Organization: Bristol-Myers Squibb Lines: 51  In article <C5L0n2.5LL@ulowell.ulowell.edu>, jrutledg@cs.ulowell.edu (John Lawrence Rutledge) writes: > >So the phrase ""the right of the people to keep and bear Arms, shall  >not be infringed"" must either qualify or explain the phrase ""a well  >regulated militia, being necessary to the security of a free state.""    [stuff deleted]  >Since ""the right of the people to keep and bear Arms, shall not be >infringed"" does not describe, modify or make less harsh anything and >it has nothing to do with grammar or some sort of position or task. >By process of elimination it must fall into definition #3.  And since >#3 deals with legal power, the same thing the Constitution does, it >must be the correct definition in this case.  Therefore, ""the right  >of the people to keep and bear Arms"" gives legal power to the ""well  >regualated militia"" and this legal power ""shall not be infringed"".    Ah, clarification by obfuscation.  Actually, the words ""A well regulated Milita, being necessary to the security of a free state"" is a present participle, used as an adjective to modify 'militia', which is followed by the main clause of the sentence, the subject being 'the right', the verb 'shall'.  It asserts that the right to keep and bear arms is essential for maintaining a milita.  The sentence doesn't restrict the right, or state or imply possession of the right by anyone or anything other than the people.  All it does is make a positive statement regarding a right of the people. The PEOPLE, as in you and me, as in the First, Fourth, Ninth, Tenth, as well as the Second amendment. The existence of this right is assumed - it is not granted by the amendment. There is no stated or implied condition relating the right to bear arms to the necessity of a well-regulated militia to the security of a free state. In other words, the entire sentence says that the right to keep and bear arms is UNCONDITIONAL.   >So in effort not to force my views and not ""to destory our Liberties and >Rights,""  I state that nothing I have written, or will write, in >the matter of ""Liberties and Rights"" is the final word.  For I am only >one person among many and the final word on ""Liberties and Rights"" cleary >and irrevocably belongs to the many.  The final word on liberties and rights should not belong ""to the many"".  That is why we have a Constitution.  Otherwise, a tyrrany of the majority can ensue from ""popular"" opinion, a concept which you should be familiar with from the Federalist papers.  Al [standard disclaimer]",talk.politics.guns
"From: hayes@ug.cs.dal.ca (Kevin B. Hayes) Subject: Re: changing port buffer size in ZTerm Nntp-Posting-Host: ug.cs.dal.ca Organization: Math, Stats & CS, Dalhousie University, Halifax, NS, Canada Lines: 20  In <19930419.060948.343@almaden.ibm.com> petrack@vnet.IBM.COM writes:  >Some kind soul told me that I could change the serial port buffer size >of Zterm via ResEdit. He did not tell me HOW I could change it using >ResEdit, and I have lost his e-mail address.  >Could he or any one else please tell me what to do?  >I assume that the relevant resource is zSet, but I do not know, and [chop]  Could you please post it to the net too please, as I, and I'm sure many others would like to know.  Thanks! Kev.  --  Kevin Hayes                    |      ""My opinions do necessarily  Dalhousie University           |       reflect the opinions of Halifax, Nova Scotia, Canada   |       myself; so sue me!"" hayes@ug.cs.dal.ca             |",comp.sys.mac.hardware
"Organization: Arizona State University From: James Cassidy <IFJXC@ASUACAD.BITNET> Subject:    Norton Desktop Smartcan vs. Norton Util's EP Lines: 22  I just purchased The Norton Desktop for windows, and I also have Norton Utilities.  When I installed NDW, it wanted to rem out the line that installed EP (EP /ON) and the command to invoke the Image utility. It replaced the Image command with a new image command that invokes the version of Image that came with NDW.  This makes sense, as presumably the Image version with NDW is newer than the one with NU.  It did not, however, install smartcan in the autoexec.  Now two questions:    1:  Will NU use the image data saved by the newer version of image invoked.        i.e. Are the two version of Image compatable?    2:  Will erase protect use the info from smartcan, and vice versa?        I use both dos and windows, and I want to make sure that when I        erase files in either environment, they are going to be protected.  From the experiments I have run, The two programs (Erase Protect and smart Erase) don't use each others info. I currently have both EP and smartcan loading within my autoexec, and I don't see any conflicts;  FYI :  Norton Desktop for Windows version 2.2        Norton Util's version 6  Thanks for any help.",comp.os.ms-windows.misc
"From: smikes@topgun (Steven Mikes) Subject: Re: XVideo Information Organization: UN*X Technologies Lines: 13  The product you mention is XVideo from Parallax Graphics in Santa Clara,  California, US. You can read our product review in the Jan/Feb '93 issue of The X Journal. That issues focuses on Multimedia and X, in which there are also a number of other useful items, including an article on Video in an X Window. Fax our New York office at 212.274.0646 for information on  obtaining back issues.  Steve --        Steven Mikes - Editor - The X Journal         1097 Eastbrook Rd., Martinsville, NJ 08836          OFFICE: 908.563.9033 - FAX: 908.560.8635           ""Serving The X Window System Community""",comp.windows.x
"From: mayne@pipe.cs.fsu.edu (William Mayne) Subject: Re: *** The list of Biblical contradictions Organization: Florida State University Computer Science Department Reply-To: mayne@cs.fsu.edu Lines: 14  In article <7912@blue.cis.pitt.edu> joslin@pogo.isp.pitt.edu (David Joslin) writes: >[Many good points deleted. Anyone who missed it should see the original.] >Lists like this that just toss a bunch of quotes together to >make a bible verse salad just don't cut it.  Those of us who >want to argue against inerrancy should find this sort of thing >as embarassing as the fundies should find Josh McDowell.  True, except that I've known few fundies who had enough sense to be embarrassed by Josh McDowell.  (Okay, maybe a cheap shot. But I'm in that kind of mood.)  Bill Mayne",talk.religion.misc
From: jks4675@ritvax.isc.rit.edu Subject: Conner 120 MB Question Nntp-Posting-Host: vaxa.isc.rit.edu Reply-To: jks4675@ritvax.isc.rit.edu Organization: Rochester Institute of Technology  What do I need to do to configure this drive as a slave? Model# CP30101G  Please reply via e-mail. Thanks!!  Jeff **************************************************************** *  Four out of five electrons prefer holes for their mutual    * *  annhiliation needs. Boycott Sierra. Ignore anybody who      * *  purports to be a serious Windows user. Support new makers   * *  of hardware and software. Buy Canadian music. Quit smoking. * *  Take up running. FM synthesis is the CGA of audio.          * *                            JKS4675@RITVAX.ISC.RIT.EDU        * ****************************************************************,comp.sys.ibm.pc.hardware
"From: rued@daimi.aau.dk (Thomas Rued J|rgensen) Subject: Re: .SCF files, help needed Organization: DAIMI: Computer Science Department, Aarhus University, Denmark Lines: 15  tlc@cx5.com writes:  >Second problem: I can't find any graphics program that will open and display   >these files. I have a couple of image conversion programs, none mention .scf   >files.  RIX's files with the extension  .sci and .scf are just a RAW file with a 256 color palette. The first 10 bytes is a kind of header, with the name RIX among 7bytes unknown stuff. The you have 768 bytes of palette info (3*256 for the colors RGB) and then you have the picture in raw format. If you dont know how to make a viewer of of this description you can get VPIC it is able to read the files!  regards Thomas",comp.graphics
"From: viking@iastate.edu (Dan Sorenson) Subject: Re: Flashing anyone? Keywords: flashing Organization: Iowa State University, Ames IA Lines: 29  behanna@syl.nj.nec.com (Chris BeHanna) writes:  >>Just before arriving at a toll booth I >>switch the hazards on.  I do thisto warn other motorists that I will >>be taking longer than the 2 1/2 seconds to make the transaction. >>My question, is this a good/bad thing to do?  > This sounds like a VERY good thing to do.   I'll second that.  In addition, I find my hazards to be more often used than my horn.  At speeds below 40mph on the interstates, quite common in mountains with trucks, some states require flashers. In rural areas, flashers let the guy behind you know there is a tractor with a rather large implement behind it in the way.  Use them whenever  you need to communicate that things will deviate from the norm.    >--  >Chris BeHanna DoD# 114          1983 H-D FXWG Wide Glide - Jubilee's Red Lady >behanna@syl.nj.nec.com           1975 CB360T - Baby Bike >Disclaimer:  Now why would NEC   1991 ZX-11 - needs a name   Is that ZX-11 painted green?  Since the green Triumph 650 that a friend owned was sold off, her name is now free for adoption.  How does the name ""Thunderpickle"" grab you?  < Dan Sorenson, DoD #1066 z1dan@exnet.iastate.edu viking@iastate.edu > <  ISU only censors what I read, not what I say.  Don't blame them.  > <     USENET: Post to exotic, distant machines.  Meet exciting,      > <                 unusual people.  And flame them.                   >",rec.motorcycles
"From: slg3x@cc.usu.edu Subject: X Color bitmap editor needed Organization: Utah State University Lines: 7  Hi Folks,  Does anybody know where I can find the ""Color"" bitmap editor around the public sites? Any information I do appreciate that.   C.Chang",comp.windows.x
"From: shellgate!llo@uu4.psi.com (Larry L. Overacker) Subject: Re: Easter: what's in a name? (was Re: New Testament Double Stan Organization: Shell Oil Lines: 36  In article <Apr.14.03.09.10.1993.5497@athos.rutgers.edu> dsegard@nyx.cs.du.edu (Daniel Segard) writes:  >       That argument would be more compelling if it were not for the >Ishtar eggs and Ishtar bunnies.  Why mix pagan fertility symbols from the >worship of the pagan goddess of fertility with Biblical belief?  What >would really be lost if all of you were to just drop the word ""Easter"" and >replace all such occurances with ""Resurrection Sunday""?  Would you not >show up for services if they were called ""Resurrection Sunday Services"" >rather than ""Easter Services""?    There is another way to view this.  The True Celebration is Easter, the Resurrection of Our Lord.  This has been true from the foundation of the world.  Pagan practices are then either:  1. foreshadowings of the True Celebration of the Resurrection,     in which dim light was shone forth so that people would    recognize the full truth when it was manifested, OR  2. satanic counterfeits intended to deceive us so that we would not    recognize the truth when it was manifested.  I don't believe the second argument, because I believe in the power of the Resurrection, the fulfillment of the Incarnation, and our hope. Earlier or parallel ideas in other religions clearly are dim images of the truth of the Resurrection.  As Paul states, we see through a glass darkly.  So do others.  It serves no purpose arguing about who has the darker or lighter glass.  The foreshadowings are not perfect. So what? Our understnding of God is today imperfect, for we are not yet perfected.  Theosis is not a gift such that WHAM, we're perfect.  Larry Overacker (llo@shell.com) --  ------- Lawrence Overacker Shell Oil Company, Information Center    Houston, TX            (713) 245-2965 llo@shell.com",soc.religion.christian
"From: gt7122b@prism.gatech.edu (boundary, the catechist) Subject: Re: Atheists and Hell Organization: Georgia Institute of Technology Lines: 54  >>""We look for the resurrection of the dead, and the >>life of the world to come.""  - Nicene-Constantinopolitan Creed.  >I always took the 'resurrection' in this statement to mean the >resurrection of the soul, but I guess resurrection does strictly mean >the raising of the physical body.  I have some questions on this point:  The next time you go to church, you can check the better creed, that is, the Apostles' Creed.  It says: ""the resurrection of the body.""  Should have learned that on the first go around.  But what's a body without  a little bit a'soul?   >1.  I always thought that Christians believe the descent into hell was  >pretty much immediate, and that there are people burning in hell right >now. Where will my ""soul""  >(which, by the way, I don't believe in) exist until that time?  At the risk of offending everybody, I will interject the 13th century point of view.  Christ descended immediately into the bosom of Abraham to set captives captive.  He preached to the saved for three days before drawing them with Him back to this earth.  I'm no expert on this part, but Matthew (27:52-53) says about the death of Jesus: ""tombs were opened, and the bodies of many saints who had fallen asleep were raised.  And coming forth from the tombs after his resurrection, they entered the holy city and appeared to many.""  (NAB)  Regarding the hell of the damned, of which you speak, Christ did not see it (Ps 16:10, Acts 2:27), although it saw Him (cf. Is 45:2).    Concerning the abodes of the dead, I don't want to subject my brethren to further anguish, so I will direct you to contact me through e-mail if you are genuinely concerned.   >2.  Will the new body I will have be created out of the same atoms  >that my body now is made of, or will it be built from scratch?   Your new body might be something like Adam's before his fateful encounter with the Just One (Acts 7:52, CR trans. Vulgate): filled with infused knowledge, absent of concupiscence, and immortal.  It would probably be a little glorified, too.  >3.  Since I will have a physical body, I assume it will need a physical >place to exist in -- where is this hell?  In the center of the earth? >Do you think we could find it if we dig?  I wouldn't recommend it.  It's really hot down at the center of the earth! You know, the normal geothermal gradient, and all that.    Regards.  --  boundary, the catechist   no teneis que pensar que yo haya venido a traer la paz a la tierra; no he venido a traer la paz, sino la guerra (Mateo 10:34, Vulgata Latina)",soc.religion.christian
"From: bbates@pro-freedom.van.wa.us (Brandon Bates) Subject: WANTED: Video equipment (repost) Article-I.D.: pro-free.1993Apr21.155915.10932 Organization: ProLine [pro-freedom] AppleVan (Apple UG of Vancouver, WA) Lines: 11        I am looking for a working docking deck (deck that goes on back of camera) for an old JVC GX-S700 Tube video camera.  Any format is acceptable.  Please send me a message if you even know anything about decks for the GX-S700.  Also interested in any video equipment for sale, professional or consumer.  Thank you.   ---- bbates@pro-freedom.van.wa.us   -==-   Pro-Freedom BBS - (206) 694-3276  ==============================================================",misc.forsale
"From: pmm7@ellis.uchicago.edu (peggy boucher murphy (you had to ask?)) Subject: Re: The U.S. Holocaust Memorial Museum: A Costly and Dangerous Mistake Reply-To: pmm7@midway.uchicago.edu Organization: University of Chicago Lines: 21  In article <SMITH.93Apr21183049@minerva.harvard.edu> Steven Smith writes: >dgannon@techbook.techbook.com (Dan Gannon) writes: >>     THE U.S. HOLOCAUST MEMORIAL MUSEUM: A COSTLY AND DANGEROUS MISTAKE >> >>                         by Theodore J. O'Keefe >> >> [Holocaust revisionism] >>  >> Theodore J. O'Keefe is an editor with the Institute for Historical >> Review.  Educated at Harvard University . . . > >According to the 1990 Harvard Alumni Directory, Mr. O'Keefe failed to >graduate.  You may decide for yourselves if he was indeed educated >anywhere.  (forgive any inaccuracies, i deleted the original post) isn't this the same person who wrote the book, and was censured in canada a few years back?    peg",talk.politics.mideast
"From: cutter@gloster.via.mind.org (cutter) Subject: Re: NC vs Hunt (Marine Gay Bashing in Wilmington NC) verdict Distribution: world Organization: Gordian Knot, Gloster,GA Lines: 23  jon@atlas.MITRE.org (J. E. Shum) writes: >  > In article <C5G1su.K27@wolves.Durham.NC.US>, wolfe@wolves.Durham.NC.US (G. Wo > > A sad day for civil rights.  But typical of NC (unfortunately.) >  > If it is typical for the principle of reasonable doubt to be upheld in > North Carolina, then I would count that in the state's favor.  >  Reasonable doubt dates back to Human Rights. We are now in the time of Civil Rights. Civil Rights are issued by the State with whatever strings attached they choose as the Grantor of said rights. And if that means that  verdicts are determined by the needs of the state rather than by guilt or  innocence in a traditional sense, so be it. Being subjective rather than  objective may make it harder to anticipate what is right, and you may be  sacrificed for being wrong inadvertantly once in a while, but that really is a  small price to pay for the common good don't you think?   --------------------------------------------------------------------- cutter@gloster.via.mind.org (chris)     All jobs are easy                                       to the person who                                      doesn't have to do them.                                                Holt's law",talk.politics.misc
"From: geoffb@coos.dartmouth.edu (Thumper) Subject: Re: New Apple Ergo-Mouse Reply-To: geoffb@Dartmouth.EDU Organization: Amos Tuck School Lines: 16 Disclaimer: I don't represent Dartmouth and Dartmouth doesn't represent me.  In <5APR199312491648@utkvx.utk.edu> nwcs@utkvx.utk.edu (Schizophrenia means never being alone) writes:  >Does anyone know how to open up the Apple Ergo-Mouse (ADB Mouse II)?  Mine >lives near a cat (true, really...) and picks up her fur.  From what I can tell, >it looks like Apple welded it shut.     By rotating the plate around the mouse ball counter-clockwise you can open the mouse and clean it. It isn't as obvious as the Desktop Bus Mouse I but it opens quite easily once you see what has to be done.  -Geoff -- geoffb@Dartmouth.EDU - Computing Support Consultant, Tuck School of Business                         If you don't vote... you don't count.",comp.sys.mac.hardware
"From: bear@tigger.cs.Colorado.EDU (Bear Giles) Subject: Re: The [secret] source of that announcement Nntp-Posting-Host: tigger.cs.colorado.edu Organization: National Oceanic & Atmospheric Adminstration / Boulder Labs Distribution: inet Lines: 33  >Andrew Molitor (amolitor@nmsu.edu) wrote: >:  >:  1) Monitor my phonecalls. >:  2) Monitor usenet.  They may collect the data, but making sense of it is another matter.  On sci.crypt I'm a graduate CS major (with strong math background) and experienced programmer taking a cryptology course.  (<< keyword for alleged NSA filters).  On sci.skeptic I'm an ex-physics major who's a new-age flake, talking about silly things like how a person's expectations colors what he sees.  On talk.religion.newage I'm a physics geek who enjoys squashing interesting idea with WASP science, although I do write occasional posts showing a minimal knowledge of Zen, mythology, etc.  I could go on, but I'm sure you see my point.  I'm a single person, but I react differently on different groups (admittedly, in part because I'm a contrarian you always shouts ""but, on the other hand...""). On top of that, I _loath_ certainty and have taken public positions in the past for no reason other than to challenge ""conventional wisdom"". I wish them luck in figuring out who ""I"" am based on that information.  (They can probably figure out I'm liberal, with a technical degree but humanistic interests, from a common thread throughout my posts. But that describes a fair portion of the users of Internet).  --  Bear Giles bear@cs.colorado.edu/fsl.noaa.gov",sci.crypt
"From: eggertj@moses.atc.ll.mit.edu (Jim Eggert x6127 g41) Subject: Re: DID HE REALLY RISE??? Reply-To: eggertj@atc.ll.mit.edu Organization: MIT Lincoln Lab - Group 41 Lines: 13  In article <Apr.12.03.44.39.1993.18842@athos.rutgers.edu> reedr@cgsvax.claremont.edu writes: >   The real problem was >   that Christians were pacifist and preached there was only one god.  When the >   state operates by a system of divinitation of the emperor -  monotheism  >   becomes a capital offense.  The Jews were able to get exemption from this, >   and were also not evangelistic.  I disagree with your claim that Jews were not evangelistic (except in the narrow sense of the word).  Jewish proselytism was widespread. There are numerous accounts of Jewish proselytism, both in the New Testament and in Roman and Greek documents of the day. -- =Jim  eggertj@atc.ll.mit.edu (Jim Eggert)",soc.religion.christian
"From: wlieftin@cs.vu.nl (Liefting W) Subject: Re: Why is my mouse so JUMPY? (MS MOUSE) Organization: Fac. Wiskunde & Informatica, VU, Amsterdam Lines: 20  ecktons@ucs.byu.edu (Sean Eckton) writes:  >I have a Microsoft Serial Mouse and am using mouse.com 8.00 (was using 8.20  >I think, but switched to 8.00 to see if it was any better).  Vertical motion  >is nice and smooth, but horizontal motion is so bad I sometimes can't click  >on something because my mouse jumps around.  I can be moving the mouse to  >the right with relatively uniform motion and the mouse will move smoothly  >for a bit, then jump to the right, then move smoothly for a bit then jump  >again (maybe this time to the left about .5 inch!).  This is crazy!  I have  >never had so much trouble with a mouse before.  Anyone have any solutions?    >Does Microsoft think they are what everyone should be? <- just venting steam!  I think I have the same problem. I think it is caused by the rubber ball in the mouse, which doesn't roll so smooth. The detectors in the mouse notice this and whoops, I hit a mine (using minesweeper :-) ).  I think the solution will be buying a new mouse, and/or using a mouse pad.  Wouter.",comp.os.ms-windows.misc
"From: cmmiller@iastate.edu (C. M. Miller) Subject: RESULTS of Mathematica Speed Tests!! Organization: Iowa State University, Ames, IA Lines: 84  Well, here are the results of the Mathematica test which I posted to this newsgroup.  The ""test"" was the following command:  >Plot3D[((-2*9000)/(2*3.1416*((x-5000)^2+(y-8000)^2+ >81000000)^1.5))+((-3*9000)/(2*3.1416*((x-10000)^2+ >(y-1000)^2+81000000)^1.5))+((4*2000)/(2*3.1416* >((x-7000)^2+(y-10000)^2+4000000)^1.5)), >{x,-5500,19500},{y,-5500,19500},PlotPoints->50]   I was just curious how fast the plot command would be executed on various Macintosh machines as well as other personal computers and workstations.  The results are posted below:  Machine  System  Math vers. # of trials time, min  PB 170  7.0.0 with 2.1  2  2:08   tuneup/8MB   RAM/5MB for   Mathematica  DEC 5000 Ultrix v4.2a 2.1 for  1  0:25   DEC RISC        IIsi  7.1/cache@96MB 1.2f33Enh. 1  4:30   25MHz/5MB RAM/   3MB for Math./   w/ 68882  C650  7.1/8MB RAM   2  0:32  Q800  8MB/Cache@384/ 1.2    1:01   4MB for Math.   Sparc  SunOS4.1.3     0:14 Station  40MB RAM  SGI Iris/4D R3000 RISC     <0:01   processor   version  Sparc  SunOS4.1.2 2.1     0:26 Station2  IIsi  7.1      3:15  NeXT  NeXTSTEP 2.1 1.2    2:38 Cube  68030 based/   w/ coprocessor   NeXT  NeXTSTEP 3.0 1.2  5(ave)  0:52 Cube  68040/25MHz/   20 MB RAM  IIsi  17MB/8MB for 2.102 Enha   3:15   Math.      w/ 68882  NeXT  16MB RAM/   1   0:37   25 MHz 040/   Workspace   Manager 2.1  Funny how the IIsi running at 25 MHz is slower than other equivalent machines, lots slower in fact.  Perhaps the version of Mathematica makes a difference or the fact that not much RAM was allocated. Another interesting thing is how fast the SGI did it.  Wow.   Basically, though, I wouldn't draw any conclusions from this data.  It seems that Mathematica's speed is dependant on a lot of variables.  I was just curious how different machines would measure up.    Well, if you have any questions or if I forgot something, just drop me a line at ""cmmiller@iastate.edu"".    Chad  PS  If the spacing of the above table doesn't come out right on your machine, tell me and I'll mail you a copy of this in a binhexed Word 5.1 document.",comp.sys.mac.hardware
